REF;NAME;PVP0C
39903.009.5;[39903.009.5] BAÑADOR MUJER SQUBA MOD. 4009.100 COSMO (MARINO, XL);0.555
39905.021.2;[39905.021.2] BAÑADOR MUJER SQUBA MOD. 4012.100 SQUALO (ANTRACITA, S);0.318
39905.021.3;[39905.021.3] BAÑADOR MUJER SQUBA MOD. 4012.100 SQUALO (ANTRACITA, M);0.303
39905.021.4;[39905.021.4] BAÑADOR MUJER SQUBA MOD. 4012.100 SQUALO (ANTRACITA, L);0.303
39905.021.5;[39905.021.5] BAÑADOR MUJER SQUBA MOD. 4012.100 SQUALO (ANTRACITA, XL);0.312
39906.009.2;[39906.009.2] BAÑADOR MUJER SQUBA MOD. 4013.100 COSMO (MARINO, S);0.561
39906.009.3;[39906.009.3] BAÑADOR MUJER SQUBA MOD. 4013.100 COSMO (MARINO, M);0.552
39906.009.4;[39906.009.4] BAÑADOR MUJER SQUBA MOD. 4013.100 COSMO (MARINO, L);0.552
39906.009.5;[39906.009.5] BAÑADOR MUJER SQUBA MOD. 4013.100 COSMO (MARINO, XL);0.555
39907.C84.2;[39907.C84.2] BAÑADOR MUJER SQUBA MOD. 4015.100 ERBA (ANTRACITA/VERDE, S);0.577
39907.C84.3;[39907.C84.3] BAÑADOR MUJER SQUBA MOD. 4015.100 ERBA (ANTRACITA/VERDE, M);0.568
39907.C84.4;[39907.C84.4] BAÑADOR MUJER SQUBA MOD. 4015.100 ERBA (ANTRACITA/VERDE, L);0.565
39907.C84.5;[39907.C84.5] BAÑADOR MUJER SQUBA MOD. 4015.100 ERBA (ANTRACITA/VERDE, XL);0.568
39908.A29.2;[39908.A29.2] BAÑADOR MUJER SQUBA MOD. 4015.100 DUKE (NEGRO/ROYAL, S);0.574
39908.A29.3;[39908.A29.3] BAÑADOR MUJER SQUBA MOD. 4015.100 DUKE (NEGRO/ROYAL, M);0.565
39908.A29.4;[39908.A29.4] BAÑADOR MUJER SQUBA MOD. 4015.100 DUKE (NEGRO/ROYAL, L);0.565
39908.A29.5;[39908.A29.5] BAÑADOR MUJER SQUBA MOD. 4015.100 DUKE (NEGRO/ROYAL, XL);0.568
39909.021.2;[39909.021.2] BAÑADOR MUJER SQUBA MOD. 4029.100 SQUALO (ANTRACITA, S);0.565
39909.021.3;[39909.021.3] BAÑADOR MUJER SQUBA MOD. 4029.100 SQUALO (ANTRACITA, M);0.565
39909.021.4;[39909.021.4] BAÑADOR MUJER SQUBA MOD. 4029.100 SQUALO (ANTRACITA, L);0.565
39909.021.5;[39909.021.5] BAÑADOR MUJER SQUBA MOD. 4029.100 SQUALO (ANTRACITA, XL);0.565
39910.021.3;[39910.021.3] BAÑADOR PLUS SQUBA MOD. 6000.100 SQUALO (ANTRACITA, M);0.65
39910.021.4;[39910.021.4] BAÑADOR PLUS SQUBA MOD. 6000.100 SQUALO (ANTRACITA, L);0.65
39975.007.109;[39975.007.109] TOALLA MICROFIBRA SQUBA (NARANJA, 1,3X0,80);0.266
39975.008.109;[39975.008.109] TOALLA MICROFIBRA SQUBA (VIOLETA, 1,3X0,80);0.266
74038.001.25;[74038.001.25] POLO SOFTEE PADEL CLASSIC (NEGRO, 6/8);0.162
74038.001.27;[74038.001.27] POLO SOFTEE PADEL CLASSIC (NEGRO, 10/12);0.162
74038.001.32;[74038.001.32] POLO SOFTEE PADEL CLASSIC (NEGRO, S);0.162
74038.001.33;[74038.001.33] POLO SOFTEE PADEL CLASSIC (NEGRO, M);0.162
74038.002.25;[74038.002.25] POLO SOFTEE PADEL CLASSIC (BLANCO, 6/8);0.162
74038.002.27;[74038.002.27] POLO SOFTEE PADEL CLASSIC (BLANCO, 10/12);0.162
74038.002.32;[74038.002.32] POLO SOFTEE PADEL CLASSIC (BLANCO, S);0.162
74038.003.25;[74038.003.25] POLO SOFTEE PADEL CLASSIC (ROJO, 6/8);0.162
74038.003.27;[74038.003.27] POLO SOFTEE PADEL CLASSIC (ROJO, 10/12);0.162
74038.003.32;[74038.003.32] POLO SOFTEE PADEL CLASSIC (ROJO, S);0.162
